(185.897, 8.695)
(187.075, 10.559)
(183.961, 10.892)
(185.623, 11.941)
(182.056, 12.939)
(180.739, 12.988)
(173.848, 13.22)
(170.022, 13.812)
(163.529, 15.839)
(159.887, 15.431)
(146.0, 15.939)
(131.38, 13.368)
(123.576, 8.15)
(123.292, 6.258)
(125.39, 6.164)
(119.636, 5.689)
(120.406, 5.502)
(123.738, 3.851)
(127.372, 3.862)
(128.538, 3.502)
(138.123, 1.64)
(139.128, 1.887)
(154.257, 0.2)
(154.284, 0.774)
(161.736, 1.664)
(165.791, 0.737)
(169.151, 1.915)
(175.654, 1.801)
(183.897, 6.026)
(183.274, 8.057)
