(131.231, 18.188)
(128.882, 21.958)
(123.669, 23.502)
(115.418, 25.012)
(104.414, 23.036)
(112.139, 30.05)
(105.198, 32.144)
(99.103, 30.956)
(96.389, 32.134)
(89.448, 30.228)
(69.718, 27.104)
(80.692, 21.009)
(75.152, 20.354)
(59.704, 18.452)
(59.547, 16.301)
(64.301, 5.765)
(67.167, 5.687)
(82.751, 9.884)
(76.019, 1.856)
(87.514, 7.168)
(91.058, 8.555)
(103.091, 1.34)
(109.582, 7.867)
(118.589, 4.882)
(106.764, 11.175)
(122.012, 7.141)
(129.564, 9.6)
(127.103, 11.146)
(131.484, 12.838)
(112.949, 15.752)
