(17.547, 9.944)
(19.327, 11.158)
(19.986, 12.864)
(19.633, 14.076)
(16.812, 14.809)
(14.052, 14.248)
(12.328, 13.291)
(10.539, 10.917)
(9.714, 11.358)
(8.201, 13.615)
(6.036, 13.667)
(3.439, 13.494)
(1.162, 13.164)
(0.952, 11.861)
(2.290, 10.093)
(6.757, 8.984)
(2.466, 8.412)
(1.745, 7.006)
(1.402, 6.210)
(1.376, 4.901)
(2.277, 2.705)
(3.832, 1.952)
(6.787, 1.152)
(8.004, 0.970)
(10.709, 0.952)
(13.338, 2.010)
(14.813, 2.994)
(14.945, 5.156)
(12.933, 7.448)
(17.663, 5.892)
(18.338, 6.946)
(17.865, 7.889)
(14.119, 8.858)
