(59.934, 10.605)
(58.837, 12.851)
(56.75, 14.804)
(54.154, 16.427)
(51.358, 17.795)
(48.403, 18.978)
(45.19, 19.95)
(41.664, 20.611)
(37.91, 20.865)
(34.088, 20.689)
(30.332, 20.115)
(26.743, 19.168)
(23.471, 17.832)
(20.796, 16.089)
(19.069, 14.002)
(18.524, 11.736)
(19.121, 9.507)
(20.564, 7.466)
(22.502, 5.639)
(24.756, 3.983)
(27.371, 2.487)
(30.474, 1.254)
(34.055, 0.453)
(37.897, 0.202)
(41.701, 0.469)
(45.297, 1.102)
(48.723, 1.953)
(52.079, 3.0)
(55.291, 4.351)
(57.991, 6.116)
(59.66, 8.268)
