(22.077, 1.825)
(20.188, 0.868)
(17.617, 0.256)
(14.769, 0.0)
(11.94, 0.006)
(9.214, 0.189)
(6.601, 0.553)
(4.227, 1.152)
(2.318, 1.998)
(1.024, 3.022)
(0.3, 4.123)
(0.0, 5.249)
(0.088, 6.395)
(0.708, 7.54)
(2.032, 8.595)
(4.048, 9.441)
(6.523, 10.013)
(9.193, 10.347)
(11.064, 10.453)
(11.301, 10.887)
(12.514, 11.793)
(14.31, 12.506)
(16.428, 13.02)
(18.697, 13.402)
(21.133, 13.683)
(23.778, 13.789)
(26.481, 13.585)
(28.895, 13.004)
(30.694, 12.111)
(31.78, 11.053)
(32.266, 9.958)
(32.267, 9.507)
(33.591, 8.788)
(34.645, 7.834)
(35.131, 6.781)
(34.962, 5.697)
(34.119, 4.665)
(32.667, 3.768)
(30.739, 3.068)
(28.506, 2.597)
(26.132, 2.357)
(23.749, 2.331)
(22.584, 2.412)
