(18.247, 13.934)
(20.115, 15.326)
(29.061, 20.244)
(17.709, 16.169)
(25.088, 27.357)
(17.632, 19.861)
(15.562, 17.944)
(14.601, 17.616)
(13.875, 17.515)
(12.928, 17.944)
(6.155, 28.864)
(8.725, 19.083)
(1.384, 23.205)
(9.308, 15.660)
(9.991, 14.793)
(10.219, 13.694)
(10.244, 12.804)
(9.940, 11.625)
(9.431, 10.592)
(2.907, 1.384)
(12.572, 11.131)
(13.367, 11.827)
(13.945, 12.252)
(14.320, 12.348)
(14.629, 12.195)
(14.989, 11.970)
(17.190, 10.442)
(27.138, 3.518)
(18.906, 11.465)
(18.047, 13.061)
