(59.858, 8.185)
(62.281, 7.144)
(63.437, 5.933)
(63.469, 4.695)
(62.656, 3.509)
(61.105, 2.412)
(58.759, 1.462)
(55.655, 0.752)
(52.094, 0.333)
(48.469, 0.146)
(44.926, 0.06)
(41.269, 0.0)
(37.279, 0.042)
(33.141, 0.365)
(29.517, 1.094)
(27.134, 2.184)
(26.429, 3.216)
(23.692, 2.754)
(19.3, 2.427)
(14.685, 2.467)
(10.217, 2.866)
(6.231, 3.59)
(3.058, 4.597)
(0.972, 5.806)
(0.027, 7.104)
(0.0, 8.393)
(0.589, 9.644)
(1.723, 10.873)
(3.642, 12.052)
(6.615, 13.054)
(10.558, 13.713)
(14.969, 13.954)
(19.3, 13.875)
(23.4, 13.657)
(24.962, 13.56)
(25.342, 13.732)
(27.919, 14.686)
(31.142, 15.528)
(35.131, 16.084)
(39.549, 16.191)
(43.771, 15.832)
(47.337, 15.151)
(50.228, 14.336)
(52.716, 13.489)
(54.981, 12.59)
(56.884, 11.572)
(58.072, 10.412)
(58.237, 9.162)
(57.813, 8.621)
