(24.558, 15.889)
(27.054, 15.435)
(29.333, 14.523)
(31.202, 13.2)
(32.506, 11.571)
(33.166, 9.773)
(33.186, 7.948)
(32.638, 6.209)
(31.627, 4.629)
(30.251, 3.24)
(28.574, 2.056)
(26.631, 1.092)
(24.438, 0.386)
(22.036, 0.0)
(19.514, 0.006)
(17.018, 0.46)
(14.739, 1.373)
(12.87, 2.695)
(11.566, 4.325)
(11.216, 5.278)
(10.487, 5.325)
(8.126, 5.813)
(6.012, 6.734)
(4.396, 8.07)
(3.384, 9.653)
(2.822, 11.294)
(2.451, 12.949)
(2.212, 14.703)
(2.341, 16.204)
(1.941, 16.491)
(0.844, 17.835)
(0.198, 19.311)
(0.0, 20.843)
(0.27, 22.362)
(1.04, 23.783)
(2.293, 24.993)
(3.925, 25.898)
(5.769, 26.463)
(7.663, 26.739)
(9.536, 26.82)
(11.42, 26.774)
(13.381, 26.58)
(15.405, 26.131)
(17.324, 25.306)
(18.846, 24.065)
(19.678, 22.506)
(19.676, 20.843)
(18.917, 19.304)
(18.705, 19.091)
(19.47, 18.86)
(21.454, 17.845)
(22.977, 16.433)
(23.265, 15.892)
