(45.561, 6.742)
(45.642, 7.633)
(45.453, 8.531)
(44.89, 9.398)
(43.933, 10.182)
(42.652, 10.85)
(41.175, 11.397)
(39.626, 11.855)
(38.072, 12.264)
(36.509, 12.655)
(34.888, 13.023)
(33.162, 13.328)
(31.328, 13.517)
(29.434, 13.542)
(27.56, 13.389)
(25.781, 13.073)
(24.134, 12.632)
(22.623, 12.105)
(21.239, 11.511)
(19.989, 10.855)
(18.912, 10.131)
(18.068, 9.339)
(17.505, 8.493)
(17.228, 7.62)
(17.191, 6.742)
(17.323, 5.871)
(17.573, 5.0)
(17.947, 4.122)
(18.514, 3.245)
(19.376, 2.407)
(20.604, 1.673)
(22.192, 1.115)
(24.039, 0.774)
(25.984, 0.644)
(27.879, 0.658)
(29.651, 0.722)
(31.328, 0.75)
(33.009, 0.707)
(34.796, 0.624)
(36.72, 0.589)
(38.705, 0.702)
(40.589, 1.037)
(42.195, 1.605)
(43.406, 2.361)
(44.217, 3.224)
(44.724, 4.119)
(45.065, 5.002)
(45.341, 5.87)
