(133.641, 8.807)
(133.343, 9.961)
(132.487, 11.089)
(131.091, 12.166)
(129.194, 13.17)
(126.857, 14.084)
(124.148, 14.896)
(121.137, 15.599)
(117.886, 16.195)
(114.442, 16.683)
(110.837, 17.065)
(107.095, 17.338)
(103.238, 17.495)
(99.297, 17.524)
(95.321, 17.41)
(91.386, 17.139)
(87.588, 16.7)
(84.041, 16.092)
(80.864, 15.322)
(78.161, 14.41)
(76.016, 13.383)
(74.475, 12.276)
(73.544, 11.123)
(73.197, 9.958)
(73.377, 8.807)
(74.021, 7.686)
(75.063, 6.608)
(76.456, 5.576)
(78.174, 4.593)
(80.209, 3.661)
(82.572, 2.789)
(85.273, 1.989)
(88.319, 1.282)
(91.691, 0.689)
(95.351, 0.235)
(99.229, -0.06)
(103.238, -0.182)
(107.276, -0.126)
(111.244, 0.106)
(115.049, 0.503)
(118.617, 1.05)
(121.889, 1.728)
(124.826, 2.52)
(127.395, 3.409)
(129.567, 4.38)
(131.313, 5.42)
(132.598, 6.516)
(133.385, 7.651)
